date,factor,horizon,sample_size,ic,rank_ic
2020-03-17,reversal_5,20,2718,0.0962343386271922,0.11236253195553586
2020-03-18,amihud_illiquidity_20,1,2736,0.08590298640839454,0.09977823671882359
2020-03-18,amihud_illiquidity_20,5,2730,0.05903534693767156,0.0815550751924537
2020-03-18,amihud_illiquidity_20,20,2714,-0.04003201681293713,-0.031042167005013614
2020-03-18,amount_change_5_20,1,2736,-0.02484191939368183,-0.016287950563315126
2020-03-18,amount_change_5_20,5,2730,-0.05445046840473573,-0.0018153759656624152
2020-03-18,amount_change_5_20,20,2714,-0.011724747095159038,-0.0015215085816533771
2020-03-18,low_volatility_20,1,2736,0.1845491676910722,0.17939974485910098
2020-03-18,low_volatility_20,5,2730,0.2870972001957009,0.30833744187393786
2020-03-18,low_volatility_20,20,2714,0.17144580552025399,0.23476716770810394
2020-03-18,momentum_20,1,2736,-0.05950930129486672,-0.01956295332221168
2020-03-18,momentum_20,5,2730,-0.12279887230871643,-0.06653794987792816
2020-03-18,momentum_20,20,2714,-0.08026090428905831,-0.11988046350746512
2020-03-18,momentum_60_skip_5,1,2688,-0.12867972873819636,-0.11230291903576481
2020-03-18,momentum_60_skip_5,5,2682,-0.1272679966847171,-0.1342980768272607
2020-03-18,momentum_60_skip_5,20,2668,0.0012101955225635164,-0.024155342580077833
2020-03-18,overnight_reversal_5,1,2747,0.0773509060249271,0.03784174327918714
2020-03-18,overnight_reversal_5,5,2741,0.05171159181436293,0.015369690766947552
2020-03-18,overnight_reversal_5,20,2725,-0.02402338219289424,-0.05176970295475951
2020-03-18,reversal_5,1,2747,0.09725881780576373,0.07610546960246545
2020-03-18,reversal_5,5,2741,0.16295095252344433,0.09877761807996016
2020-03-18,reversal_5,20,2725,0.12117929642098302,0.10950090320865224
2020-03-19,amihud_illiquidity_20,1,2736,0.13568053320037596,0.13632183348140905
2020-03-19,amihud_illiquidity_20,5,2732,0.05742073589408711,0.08244079195611068
2020-03-19,amihud_illiquidity_20,20,2715,-0.058483932305402865,-0.05823861305285332
2020-03-19,amount_change_5_20,1,2736,-0.008350605451562531,0.002203694697414782
2020-03-19,amount_change_5_20,5,2732,-0.09555081939181896,-0.017273438222366842
2020-03-19,amount_change_5_20,20,2715,-0.015356518852425748,-0.009659800708035826
