factor,horizon,sample_period,factor_group,dates,average_assets,mean_group_return,std_group_return
momentum_20,20,test_2025,5,242,594.6570247933885,0.02292758825316295,0.05283194699629978
momentum_20,20,train_2020_2023,1,970,575.719587628866,0.008574085537539088,0.05548936768493005
momentum_20,20,train_2020_2023,2,970,577.5525773195876,0.010217976277392606,0.051548598172401754
momentum_20,20,train_2020_2023,3,970,577.4,0.01048275828922845,0.04904276546366222
momentum_20,20,train_2020_2023,4,970,576.4608247422681,0.008776299632043578,0.04924680013476428
momentum_20,20,train_2020_2023,5,970,571.6546391752578,-0.0017602298063120793,0.055286334692447474
momentum_20,20,validation_2024,1,242,606.5495867768595,0.01854845278266624,0.1086582619832228
momentum_20,20,validation_2024,2,242,609.1404958677685,0.017607892172686407,0.09748739287976906
momentum_20,20,validation_2024,3,242,608.8347107438017,0.013878033455756191,0.09585904402452337
momentum_20,20,validation_2024,4,242,608.1404958677685,0.008573611497788724,0.09422258395915623
momentum_20,20,validation_2024,5,242,598.8388429752066,-0.005277771272496707,0.10181766931929295
momentum_60_skip_5,1,test_2025,1,243,598.3539094650206,0.0016538054174356134,0.01143010783239466
momentum_60_skip_5,1,test_2025,2,243,598.5679012345679,0.0016068277673361164,0.01029559730413551
momentum_60_skip_5,1,test_2025,3,243,598.1604938271605,0.0015364150559080154,0.010560151156960603
momentum_60_skip_5,1,test_2025,4,243,597.3827160493827,0.0014990746063146378,0.011604076881257523
momentum_60_skip_5,1,test_2025,5,243,596.6460905349794,0.0011312975594328781,0.014773973732404282
momentum_60_skip_5,1,train_2020_2023,1,970,569.1134020618557,0.0004676041086080523,0.013289094404044596
momentum_60_skip_5,1,train_2020_2023,2,970,569.1020618556701,0.0005803117770551763,0.011787844536061057
momentum_60_skip_5,1,train_2020_2023,3,970,568.8979381443299,0.0005854625611165416,0.011742189995047022
momentum_60_skip_5,1,train_2020_2023,4,970,568.3793814432989,0.0005691534345254921,0.012451260109132771
momentum_60_skip_5,1,train_2020_2023,5,970,567.8701030927836,5.762574144863398e-06,0.015043256489204989
momentum_60_skip_5,1,validation_2024,1,242,603.8719008264463,0.0007955266002129301,0.022737753879119946
momentum_60_skip_5,1,validation_2024,2,242,605.2727272727273,0.0004247756825246933,0.02065767634852793
momentum_60_skip_5,1,validation_2024,3,242,605.2396694214876,0.00021407083778638287,0.019536472609667975
momentum_60_skip_5,1,validation_2024,4,242,604.6074380165289,-0.00015212368823408454,0.018661238470496833
momentum_60_skip_5,1,validation_2024,5,242,602.8719008264463,-0.0006704065897725145,0.018440787999265153
momentum_60_skip_5,5,test_2025,1,243,597.2716049382716,0.008675483671954375,0.02314152416375921
momentum_60_skip_5,5,test_2025,2,243,598.0411522633744,0.008193713527987723,0.020886201195531685
momentum_60_skip_5,5,test_2025,3,243,597.6831275720165,0.008095259141238322,0.021673782106763132
momentum_60_skip_5,5,test_2025,4,243,596.679012345679,0.007761267899375115,0.024396800942265238
momentum_60_skip_5,5,test_2025,5,243,595.7530864197531,0.006102564944020185,0.03152848482703132
momentum_60_skip_5,5,train_2020_2023,1,970,568.2309278350516,0.0020478650316450024,0.03194002126793759
momentum_60_skip_5,5,train_2020_2023,2,970,568.5,0.00272839174074704,0.028055550382543686
momentum_60_skip_5,5,train_2020_2023,3,970,568.3216494845361,0.0029691495361255566,0.027634614243395902
momentum_60_skip_5,5,train_2020_2023,4,970,567.6546391752578,0.0026703020516921348,0.028703426363700785
momentum_60_skip_5,5,train_2020_2023,5,970,567.0505154639176,0.00022442775118698788,0.03319678519178176
momentum_60_skip_5,5,validation_2024,1,242,603.0041322314049,0.0048469122428975425,0.05725102779110633
momentum_60_skip_5,5,validation_2024,2,242,604.8760330578513,0.003016077094540039,0.05134017380465682
momentum_60_skip_5,5,validation_2024,3,242,604.8264462809917,0.0022012427060608348,0.04865557118514831
momentum_60_skip_5,5,validation_2024,4,242,604.1652892561983,0.0005857582384785953,0.04759718676225814
momentum_60_skip_5,5,validation_2024,5,242,602.2727272727273,-0.001521598669593942,0.048470119320605916
momentum_60_skip_5,20,test_2025,1,242,592.6776859504132,0.03200717518948261,0.041524291728877095
momentum_60_skip_5,20,test_2025,2,242,595.7438016528926,0.03176732453158065,0.03609305442937646
momentum_60_skip_5,20,test_2025,3,242,595.5826446280992,0.031293527824530154,0.03804622099468408
momentum_60_skip_5,20,test_2025,4,242,594.2314049586777,0.031444592564018936,0.04429163347602485
momentum_60_skip_5,20,test_2025,5,242,592.8677685950413,0.02733880731223661,0.061223650584350496
momentum_60_skip_5,20,train_2020_2023,1,970,564.7546391752577,0.007230691232745898,0.05662696808309298
momentum_60_skip_5,20,train_2020_2023,2,970,566.0907216494845,0.009362454356903015,0.05047533117495615
momentum_60_skip_5,20,train_2020_2023,3,970,566.019587628866,0.010484681874658758,0.049067225294609856
momentum_60_skip_5,20,train_2020_2023,4,970,564.9453608247422,0.009017099217676794,0.049295368852652656
momentum_60_skip_5,20,train_2020_2023,5,970,564.4556701030928,0.0007625010652060866,0.05716496273921479
momentum_60_skip_5,20,validation_2024,1,242,600.095041322314,0.01852033336522957,0.10674246385081193
momentum_60_skip_5,20,validation_2024,2,242,603.2479338842975,0.014070471568843012,0.09487248249539566
