rebalance_date,formation_date,strategy,selected_assets,assets_with_sufficient_history,forecast_annual_volatility,target_equity_exposure,target_cash_weight,maximum_target_weight,erc_solver_success,erc_max_risk_contribution_error,history_last_date
2023-06-01,2023-05-31,monthly_vol_target_10,20,20,0.1410815685614938,0.7088098113710201,0.29119018862897994,0.035440490568550996,False,,2023-05-31
2023-06-01,2023-05-31,monthly_vol_target_15,20,20,0.1410815685614938,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-05-31
2023-06-01,2023-05-31,monthly_vol_target_20,20,20,0.1410815685614938,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-05-31
2023-06-01,2023-05-31,monthly_risk_parity_cap_08_vol_15,20,20,0.13553247248027683,1.0,0.0,0.0734065451413308,True,2.5545070207744214e-07,2023-05-31
2023-07-03,2023-06-30,monthly_equal,20,20,0.10947127547500961,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-06-30
2023-07-03,2023-06-30,monthly_risk_parity,20,20,0.10204053492578083,1.0,0.0,0.06720789732316429,True,3.554709930575495e-07,2023-06-30
2023-07-03,2023-06-30,monthly_risk_parity_cap_08,20,20,0.10204053492578076,1.0,0.0,0.0672078973231658,True,3.554709946534951e-07,2023-06-30
2023-07-03,2023-06-30,monthly_vol_target_10,20,20,0.10947127547500961,0.9134816376815511,0.0865183623184489,0.045674081884077566,False,,2023-06-30
2023-07-03,2023-06-30,monthly_vol_target_15,20,20,0.10947127547500961,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-06-30
2023-07-03,2023-06-30,monthly_vol_target_20,20,20,0.10947127547500961,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-06-30
2023-07-03,2023-06-30,monthly_risk_parity_cap_08_vol_15,20,20,0.10204053492578076,1.0,0.0,0.0672078973231658,True,3.554709946534951e-07,2023-06-30
2023-08-01,2023-07-31,monthly_equal,20,20,0.0991754156368031,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-07-31
2023-08-01,2023-07-31,monthly_risk_parity,20,20,0.08658585000018103,0.9999999999999999,1.1102230246251565e-16,0.09242060792690389,True,2.002018999885946e-07,2023-07-31
2023-08-01,2023-07-31,monthly_risk_parity_cap_08,20,20,0.08751964920948556,1.0,0.0,0.08,True,0.01662398688558997,2023-07-31
2023-08-01,2023-07-31,monthly_vol_target_10,20,20,0.0991754156368031,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-07-31
2023-08-01,2023-07-31,monthly_vol_target_15,20,20,0.0991754156368031,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-07-31
2023-08-01,2023-07-31,monthly_vol_target_20,20,20,0.0991754156368031,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-07-31
2023-08-01,2023-07-31,monthly_risk_parity_cap_08_vol_15,20,20,0.08751964920948556,1.0,0.0,0.08,True,0.01662398688558997,2023-07-31
2023-09-01,2023-08-31,monthly_equal,20,20,0.116852265292202,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-08-31
2023-09-01,2023-08-31,monthly_risk_parity,20,20,0.11082614997951516,1.0000000000000002,-2.220446049250313e-16,0.06522621000159867,True,1.0089406763530429e-07,2023-08-31
2023-09-01,2023-08-31,monthly_risk_parity_cap_08,20,20,0.11082615619712216,1.0,0.0,0.06522625573783651,True,1.1738080605422363e-07,2023-08-31
2023-09-01,2023-08-31,monthly_vol_target_10,20,20,0.116852265292202,0.855781441206458,0.14421855879354195,0.042789072060322904,False,,2023-08-31
2023-09-01,2023-08-31,monthly_vol_target_15,20,20,0.116852265292202,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-08-31
2023-09-01,2023-08-31,monthly_vol_target_20,20,20,0.116852265292202,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-08-31
2023-09-01,2023-08-31,monthly_risk_parity_cap_08_vol_15,20,20,0.11082615619712216,1.0,0.0,0.06522625573783651,True,1.1738080605422363e-07,2023-08-31
2023-10-09,2023-09-28,monthly_equal,20,20,0.12283304326052452,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-09-28
2023-10-09,2023-09-28,monthly_risk_parity,20,20,0.11594802583077622,0.9999999999999999,1.1102230246251565e-16,0.076656254976113,True,1.654220818519958e-07,2023-09-28
2023-10-09,2023-09-28,monthly_risk_parity_cap_08,20,20,0.1159480239623124,1.0,0.0,0.07665630575584025,True,1.6911157279392297e-07,2023-09-28
2023-10-09,2023-09-28,monthly_vol_target_10,20,20,0.12283304326052452,0.8141131844132815,0.1858868155867185,0.04070565922066408,False,,2023-09-28
2023-10-09,2023-09-28,monthly_vol_target_15,20,20,0.12283304326052452,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-09-28
2023-10-09,2023-09-28,monthly_vol_target_20,20,20,0.12283304326052452,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-09-28
2023-10-09,2023-09-28,monthly_risk_parity_cap_08_vol_15,20,20,0.1159480239623124,1.0,0.0,0.07665630575584025,True,1.6911157279392297e-07,2023-09-28
2023-11-01,2023-10-31,monthly_equal,20,20,0.1786764838751039,1.0000000000000002,-2.220446049250313e-16,0.05,False,,2023-10-31
2023-11-01,2023-10-31,monthly_risk_parity,20,20,0.17007880163762276,0.9999999999999998,2.220446049250313e-16,0.09129104840168971,True,1.0824636854228631e-07,2023-10-31
2023-11-01,2023-10-31,monthly_risk_parity_cap_08,20,20,0.17102534725294663,1.0000000000000002,-2.220446049250313e-16,0.08000000000000002,True,0.007733465960944597,2023-10-31
