ts_code,trade_date,symbol,name,area,industry,market,exchange,list_status,list_date,delist_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,reference_factor,open_adj,high_adj,low_adj,close_adj,limit_pre_close,up_limit,down_limit,is_suspended,is_st,is_research_universe,st_data_available,has_stock_metadata,is_listed_on_date,has_invalid_raw_price,has_invalid_adjusted_price,has_invalid_adj_factor,has_invalid_volume,has_invalid_amount,has_zero_volume,is_open_at_up_limit,is_open_at_down_limit,is_close_at_up_limit,is_close_at_down_limit,can_trade_at_open
000004.SZ,2025-03-13,000004,国华退,,,主板,SZSE,D,1990-12-01,2026-07-14,12.24,12.24,11.85,12.02,12.25,-0.23,-1.8776,54916.33,65883.726,4.064,4.064,12.24,12.24,11.85,12.02,12.25,13.48,11.03,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000006.SZ,2025-03-13,000006,深振业A,深圳,区域地产,主板,SZSE,L,1992-04-27,,6.66,6.69,6.43,6.51,6.66,-0.15,-2.2523,279961.64,182227.092,39.74,39.74,6.66,6.69,6.43,6.51,6.66,7.33,5.99,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000007.SZ,2025-03-13,000007,全新好,深圳,其他商业,主板,SZSE,L,1992-04-13,,6.29,6.31,6.15,6.2,6.26,-0.06,-0.9585,60442.0,37563.424,8.284,8.284,6.29,6.31,6.15,6.2,6.26,6.89,5.63,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000008.SZ,2025-03-13,000008,神州高铁,北京,运输设备,主板,SZSE,L,1992-05-07,,2.84,2.85,2.74,2.77,2.84,-0.07,-2.4648,687770.0,190609.907,22.408,22.408,2.84,2.85,2.74,2.77,2.84,3.12,2.56,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000009.SZ,2025-03-13,000009,中国宝安,深圳,电气设备,主板,SZSE,L,1991-06-25,,8.56,8.61,8.46,8.52,8.58,-0.06,-0.6993,156493.24,133151.516,8.977,9.0053,8.533099397021756,8.58294226733146,8.433413656402342,8.493225100773987,8.58,9.44,7.72,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000010.SZ,2025-03-13,000010,*ST美丽,深圳,建筑工程,主板,SZSE,L,1995-10-27,,2.96,2.97,2.85,2.89,2.97,-0.08,-2.6936,242793.0,70157.623,10.775,10.775,2.96,2.97,2.85,2.89,2.97,3.27,2.67,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000011.SZ,2025-03-13,000011,深物业A,深圳,房产服务,主板,SZSE,L,1992-03-30,,8.4,8.43,8.27,8.37,8.4,-0.03,-0.3571,48618.01,40532.994,4.411,4.411,8.4,8.43,8.27,8.37,8.4,9.24,7.56,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000012.SZ,2025-03-13,000012,南玻A,深圳,玻璃,主板,SZSE,L,1992-02-28,,4.92,4.93,4.89,4.92,4.91,0.01,0.2037,106073.5,52037.018,29.9276,30.3449,4.852340656914342,4.862203137924331,4.8227532138843765,4.852340656914342,4.91,5.4,4.42,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000001.SZ,2025-03-14,000001,平安银行,深圳,银行,主板,SZSE,L,1991-04-03,,11.82,12.0,11.82,11.97,11.84,0.13,1.098,1722417.65,2057970.454,127.7841,134.5794,11.223174289675836,11.39408557327496,11.223174289675836,11.365600359341773,11.84,13.02,10.66,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000002.SZ,2025-03-14,000002,万科A,深圳,全国地产,主板,SZSE,L,1991-01-29,,7.37,7.59,7.37,7.54,7.35,0.19,2.585,1456521.92,1092327.785,181.704,181.704,7.37,7.59,7.37,7.54,7.35,8.09,6.62,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000004.SZ,2025-03-14,000004,国华退,,,主板,SZSE,D,1990-12-01,2026-07-14,12.03,12.27,11.9,12.26,12.02,0.24,1.9967,63650.0,77099.556,4.064,4.064,12.03,12.27,11.9,12.26,12.02,13.22,10.82,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000006.SZ,2025-03-14,000006,深振业A,深圳,区域地产,主板,SZSE,L,1992-04-27,,6.49,6.6,6.46,6.59,6.51,0.08,1.2289,237564.05,155348.162,39.74,39.74,6.489999999999999,6.6,6.459999999999999,6.589999999999999,6.51,7.16,5.86,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000007.SZ,2025-03-14,000007,全新好,深圳,其他商业,主板,SZSE,L,1992-04-13,,6.21,6.37,6.17,6.35,6.2,0.15,2.4194,66058.01,41408.419,8.284,8.284,6.21,6.37,6.17,6.35,6.2,6.82,5.58,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000008.SZ,2025-03-14,000008,神州高铁,北京,运输设备,主板,SZSE,L,1992-05-07,,2.76,2.82,2.73,2.8,2.77,0.03,1.083,557270.03,154900.761,22.408,22.408,2.76,2.82,2.73,2.8,2.77,3.05,2.49,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000009.SZ,2025-03-14,000009,中国宝安,深圳,电气设备,主板,SZSE,L,1991-06-25,,8.5,8.63,8.49,8.62,8.52,0.1,1.1737,232726.89,199807.664,8.977,9.0053,8.473287952650107,8.602879415455345,8.463319378588166,8.592910841393401,8.52,9.37,7.67,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000010.SZ,2025-03-14,000010,*ST美丽,深圳,建筑工程,主板,SZSE,L,1995-10-27,,2.89,2.95,2.85,2.93,2.89,0.04,1.3841,215436.97,62653.518,10.775,10.775,2.89,2.95,2.85,2.93,2.89,3.18,2.6,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000011.SZ,2025-03-14,000011,深物业A,深圳,房产服务,主板,SZSE,L,1992-03-30,,8.37,8.5,8.28,8.48,8.37,0.11,1.3142,50890.01,42817.007,4.411,4.411,8.37,8.5,8.28,8.48,8.37,9.21,7.53,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
000012.SZ,2025-03-14,000012,南玻A,深圳,玻璃,主板,SZSE,L,1992-02-28,,4.92,4.98,4.91,4.97,4.92,0.05,1.0163,179499.72,88921.283,29.9276,30.3449,4.852340656914342,4.911515542974273,4.842478175904354,4.901653061964284,4.92,5.41,4.43,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True
