ts_code,name,start_date,end_date,ann_date,change_reason
000536.SZ,ST闽闽东,2002-06-28,2004-04-22,2002-06-21,撤销PT
000536.SZ,*ST闽东,2004-04-23,2005-04-28,2004-04-22,从ST变为*ST
000536.SZ,ST闽闽东,2005-04-29,2006-10-08,2005-04-28,撤消*ST并实行ST
000536.SZ,SST闽东,2006-10-09,2009-04-07,2006-09-28,其他
000536.SZ,*ST华映,2020-04-29,2021-05-10,2020-04-28,*ST
000537.SZ,*ST戈德,2004-05-10,2005-05-18,2004-04-30,*ST
000540.SZ,*ST中天,2006-04-25,2006-10-08,2006-04-24,*ST
000540.SZ,S*ST中天,2006-10-09,2007-05-08,2006-09-28,其他
000540.SZ,*ST中天,2007-05-09,2007-06-07,2007-04-30,其他
000540.SZ,*ST中天,2023-05-05,,2023-04-29,*ST
000544.SZ,ST白鸽,2002-05-08,2003-05-11,2002-04-30,ST
000544.SZ,*ST白鸽,2003-05-12,2004-04-04,2003-04-30,从ST变为*ST
000545.SZ,*ST吉药,2007-04-16,2008-04-10,2007-04-13,*ST
000545.SZ,*ST吉药,2011-04-28,2013-07-25,2011-04-27,*ST
000546.SZ,ST吉轻工,2000-04-21,2001-05-10,2000-04-20,ST
000546.SZ,ST吉轻工,2002-08-08,2005-10-23,2002-08-01,撤销PT
000546.SZ,ST吉光华,2005-10-24,2006-05-11,2005-08-24,其他
000546.SZ,ST金圆,2023-06-16,2023-10-18,2023-06-15,ST
000548.SZ,ST湘中意,1998-04-29,1999-05-30,1998-04-28,ST
000550.SZ,ST江铃,2000-06-05,2001-04-11,2000-06-02,ST
000552.SZ,*ST长风,2004-04-30,2006-03-29,2004-04-29,*ST
000555.SZ,ST黔凯涤,1999-04-29,2001-03-26,1999-04-28,ST
000555.SZ,ST太光,2003-04-17,2004-04-29,2003-04-16,ST
000555.SZ,*ST太光,2004-04-30,2005-06-07,2004-04-29,从ST变为*ST
000555.SZ,ST太光,2005-06-08,2006-06-07,2005-06-07,撤消*ST并实行ST
000555.SZ,ST太光,2006-10-09,2007-04-03,2006-09-28,其他
000555.SZ,*ST太光,2007-04-04,2008-07-20,2007-04-03,从ST变为*ST
000555.SZ,ST太光,2008-07-21,2013-05-01,2008-07-18,撤消*ST并实行ST
000555.SZ,*ST太光,2013-05-02,2014-03-18,2013-04-26,从ST变为*ST
000557.SZ,ST银广夏,2002-05-08,2005-03-22,2002-04-30,ST
000557.SZ,*ST广夏,2005-03-23,2006-05-08,2005-03-22,从ST变为*ST
000557.SZ,ST广夏,2006-05-09,2006-06-25,2006-05-08,撤消*ST并实行ST
000557.SZ,ST银广夏,2006-10-09,2010-09-29,2006-09-28,其他
000557.SZ,*ST广夏,2010-09-30,2016-05-05,2010-09-29,从ST变为*ST
000558.SZ,ST辽房天,1998-04-29,1999-05-25,1998-04-28,ST
000560.SZ,ST昆百大,2002-04-18,2003-11-05,2002-04-17,ST
000560.SZ,*ST百大,2003-11-06,2004-04-05,2003-10-29,从ST变为*ST
000560.SZ,ST昆百大,2004-04-06,2006-09-24,2004-04-05,撤消*ST并实行ST
000560.SZ,ST昆百大,2006-10-09,2007-06-07,2006-09-28,其他
000561.SZ,ST长岭,2003-04-17,2003-05-11,2003-04-16,ST
000561.SZ,*ST长岭,2003-05-12,2006-10-08,2003-04-16,从ST变为*ST
000561.SZ,S*ST长岭,2006-10-09,2007-01-23,2006-09-28,其他
000561.SZ,SST长岭,2007-01-24,2007-11-25,2007-01-23,撤消*ST并实行ST
000561.SZ,S*ST长岭,2007-11-26,2009-09-28,2007-11-23,从ST变为*ST
000561.SZ,*ST长岭,2009-09-29,2010-04-06,2009-09-25,其他
000561.SZ,*ST烽火,2010-04-07,2010-12-07,2010-02-11,其他
000564.SZ,*ST大集,2021-02-19,2022-06-22,2021-02-10,*ST
000564.SZ,ST大集,2022-06-23,2024-05-30,2022-06-22,撤消*ST并实行ST
000566.SZ,ST海药,1999-04-29,2000-05-08,1999-04-28,ST
000566.SZ,ST海药,2002-04-19,2005-03-20,2002-04-19,ST
000567.SZ,ST琼海德,2002-04-18,2005-03-06,2002-04-17,ST
000570.SZ,ST常柴A,2003-04-11,2003-05-11,2003-04-10,ST
000570.SZ,*ST常柴A,2003-05-12,2004-04-04,2003-04-30,从ST变为*ST
000571.SZ,ST新大洲,2002-03-29,2004-03-30,2001-01-02,ST
000571.SZ,ST大洲,2019-04-16,2019-04-29,2019-04-15,ST
000571.SZ,*ST大洲,2019-04-30,2021-06-07,2019-04-29,从ST变为*ST
000571.SZ,ST大洲,2021-06-08,2023-06-27,2021-06-05,撤消*ST并实行ST
000572.SZ,ST金盘,2002-04-18,2003-05-11,2002-04-17,ST
000572.SZ,*ST金盘,2003-05-12,2004-02-23,2002-04-17,从ST变为*ST
000572.SZ,ST金盘,2004-02-24,2005-04-03,2004-02-23,撤消*ST并实行ST
000572.SZ,*ST海马,2019-04-24,2020-06-18,2019-04-23,*ST
000572.SZ,ST海马,2020-06-19,2021-05-26,2020-06-18,撤消*ST并实行ST
